"Count","AppCount","Code","Module","Class","Severity","FirstSeen","LastSeen","TopApps","Interpretation","NextAction"
"186","1","256","ffffe587822ac080","GPU/Kernel","High","5/21/2026 1:39:33 PM","6/9/2026 5:01:46 PM","193.exe(186)","GPU driver reset, TDR, or kernel graphics path failure.","Check GPU driver, overlays, HAGS/MPO/capture features, thermals, power, and WPR/GPU evidence."
"186","1","256","0","GPU/Kernel","High","5/21/2026 1:39:34 PM","6/9/2026 5:01:47 PM","117.exe(186)","GPU driver reset, TDR, or kernel graphics path failure.","Check GPU driver, overlays, HAGS/MPO/capture features, thermals, power, and WPR/GPU evidence."
"57","1","000000000015e60a","DAX3API.exe","Unknown/generic","Medium","5/10/2026 6:38:50 PM","6/9/2026 4:55:12 PM","DAX3API.exe(57)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"50","1","0xc0000005","DAX3API.exe","Access violation","High","5/10/2026 6:38:48 PM","6/9/2026 4:55:10 PM","DAX3API.exe(50)","The process accessed invalid memory. Common causes include injected overlays/hooks, graphics/runtime bugs, corrupt data, or driver interactions.","Capture a dump, isolate overlays/hooks, test clean boot, repair runtimes, and compare the fault module."
"18","1","c0000005","StackHash_2264","Access violation","High","5/23/2026 12:55:26 PM","6/8/2026 6:49:01 PM","forzahorizon6.exe(18)","The process accessed invalid memory. Common causes include injected overlays/hooks, graphics/runtime bugs, corrupt data, or driver interactions.","Capture a dump, isolate overlays/hooks, test clean boot, repair runtimes, and compare the fault module."
"10","1","P9","8457","Unknown/generic","Medium","5/20/2026 2:41:17 AM","6/5/2026 1:59:15 AM","Update;MoUpdateOrchestratorUserScan-MoUsoCoreWorker-SearchForAllUpdatesWithUpdateOptionsAsync.exe(10)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"10","2","P9","2203","Unknown/generic","Medium","5/12/2026 6:42:55 PM","5/14/2026 7:03:51 PM","10.0.26100.8247:1.exe(5), 10.0.26100.8456:1.exe(5)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"10","10","P9","P5:","Unknown/generic","Medium","5/11/2026 7:35:23 PM","6/9/2026 5:10:07 PM","bun.exe(1), chrome-headless-shell.exe(1), Code.exe(1), explorer.exe(1)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"9","1","0xc0000005","unknown","Access violation","High","5/23/2026 12:55:24 PM","6/8/2026 6:48:57 PM","forzahorizon6.exe(9)","The process accessed invalid memory. Common causes include injected overlays/hooks, graphics/runtime bugs, corrupt data, or driver interactions.","Capture a dump, isolate overlays/hooks, test clean boot, repair runtimes, and compare the fault module."
"9","1","P9","1834","Unknown/generic","Medium","6/5/2026 2:02:01 AM","6/7/2026 6:33:30 AM","10.0.26100.8456:1.exe(9)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"8","2","P9","8246","Unknown/generic","Medium","5/10/2026 11:56:23 PM","5/14/2026 6:36:51 PM","Update;.exe(4), Update;MoUpdateOrchestratorUserScan-MoUsoCoreWorker-SearchForAllUpdatesWithUpdateOptionsAsync.exe(4)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"8","1","00000000000bfe0a","KERNELBASE.dll","Unknown/generic","Medium","5/26/2026 2:51:42 PM","6/6/2026 4:39:26 PM","Malwarebytes.exe(8)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"6","1","0002f004","clr.dll","Unknown/generic","Medium","6/1/2026 8:02:04 AM","6/5/2026 2:02:17 AM","mscorsvw.exe(6)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"4","1","80000013","5bc61463","Unknown/generic","Medium","6/7/2026 6:02:12 PM","6/7/2026 6:02:14 PM","Microsoft.YourPhone_1.26042.95.0_x64__8wekyb3d8bbwe.exe(4)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"4","1","P9","1.1.24010.2001","Unknown/generic","Medium","5/28/2026 8:57:35 PM","6/6/2026 4:39:28 PM","0x80004004.exe(4)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"4","1","0xc0000005","clr.dll","Access violation","High","6/1/2026 8:02:02 AM","6/7/2026 6:43:36 AM","mscorsvw.exe(4)","The process accessed invalid memory. Common causes include injected overlays/hooks, graphics/runtime bugs, corrupt data, or driver interactions.","Capture a dump, isolate overlays/hooks, test clean boot, repair runtimes, and compare the fault module."
"4","1","00050378","ntdll.dll","Unknown/generic","Medium","5/13/2026 7:13:08 AM","5/13/2026 4:31:25 PM","DontSleep.exe(4)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"4","1","0xe0434352","KERNELBASE.dll","Unknown/generic","Medium","5/26/2026 2:51:41 PM","6/6/2026 4:38:32 PM","Malwarebytes.exe(4)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"3","2","unknown","","Unknown/generic","Medium","5/10/2026 6:48:33 PM","6/5/2026 5:53:24 PM","GHelper.exe(2), DontSleep.exe(1)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"2","1","P9","9148","Unknown/generic","Medium","5/10/2026 6:48:33 PM","5/15/2026 7:35:53 PM","GHelper.exe(2)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"2","1","0xc000027b","twinapi.appcore.dll","Unknown/generic","Medium","6/7/2026 6:02:11 PM","6/7/2026 6:02:11 PM","backgroundTaskHost.exe(2)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"2","1","000000000005bb5c","clr.dll","Unknown/generic","Medium","6/7/2026 6:43:37 AM","6/7/2026 6:43:46 AM","mscorsvw.exe(2)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"2","1","00000000000217b0","DUI70.dll","Unknown/generic","Medium","5/27/2026 2:40:07 AM","5/27/2026 2:40:08 AM","Explorer.EXE(2)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"1","1","0xc0000005","ntdll.dll","Access violation","High","5/13/2026 7:13:07 AM","5/13/2026 7:13:07 AM","DontSleep.exe(1)","The process accessed invalid memory. Common causes include injected overlays/hooks, graphics/runtime bugs, corrupt data, or driver interactions.","Capture a dump, isolate overlays/hooks, test clean boot, repair runtimes, and compare the fault module."
"1","1","0xc0000005","DUI70.dll","Access violation","High","5/27/2026 2:40:05 AM","5/27/2026 2:40:05 AM","Explorer.EXE(1)","The process accessed invalid memory. Common causes include injected overlays/hooks, graphics/runtime bugs, corrupt data, or driver interactions.","Capture a dump, isolate overlays/hooks, test clean boot, repair runtimes, and compare the fault module."
"1","1","000000000009da14","combase.dll","Unknown/generic","Medium","5/14/2026 6:55:15 PM","5/14/2026 6:55:15 PM","IntelGraphicsSoftware.exe(1)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"1","1","P9","f9a1","Unknown/generic","Medium","6/5/2026 5:53:22 PM","6/5/2026 5:53:22 PM","DontSleep.exe(1)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
"1","1","0xc000027b","CoreMessagingXP.dll","Unknown/generic","Medium","5/14/2026 6:55:12 PM","5/14/2026 6:55:12 PM","IntelGraphicsSoftware.exe(1)","The crash code is not mapped yet or was not present in the event.","Group fingerprints, collect WER/LocalDump evidence, and correlate with drivers, overlays, and recent changes."
